Age,survived
34.5,0
47,1
62,0
27,0
22,1
14,1
30,1
26,0
18,1
21,0
45,0
46,0
23,0
63,0
47,0
24,1
35,0
21,0
27,1
45,1
55,0
9,1
45,1
21,0
48,1
50,0
22,1
22.5,0
41,0
45,0
50,0
24,0
33,1
45,1
30,0
18.5,0
45,1
21,1
25,0
45,0
39,0
45,0
41,0
30,1
45,1
25,0
45,0
45,0
60,1
36,1
24,0
27,0
20,1
28,1
45,0
10,1
35,0
25,0
45,0
36,1
17,0
32,0
18,0
22,1
13,0
45,1
18,1
47,0
31,0
60,1
24,1
21,0
29,1
28.5,0
35,1
32.5,0
45,0
55,1
30,0
24,1
6,1
67,0
49,0
45,0
45,0
45,0
27,1
18,1
45,1
2,1
22,1
45,0
27,1
45,0
25,0
25,0
76,1
29,0
20,1
33,0
43,1
27,0
45,0
26,0
16,1
28,0
21,0
45,0
45,0
18.5,0
41,0
45,1
36,1
18.5,1
63,1
18,0
45,0
1,1
36,0
29,1
12,1
45,0
35,1
28,0
45,0
17,1
22,0
45,1
42,0
24,0
32,0
53,0
45,1
45,0
43,0
24,0
26.5,0
26,0
23,1
40,0
10,1
33,1
61,0
28,0
42,0
31,0
45,0
22,0
45,0
30,0
23,1
45,0
36,1
13,0
24,0
29,1
23,1
42,0
26,1
45,1
7,1
26,1
45,0
41,0
26,1
48,0
18,0
45,1
22,1
45,0
27,0
23,0
45,0
40,0
15,1
20,1
54,0
36,1
64,1
30,0
37,0
18,1
45,0
27,1
40,0
21,1
17,0
45,1
40,0
34,0
45,0
11.5,1
61,0
8,1
33,0
6,0
18,1
23,0
45,1
45,1
0.33,1
47,0
8,1
25,0
45,0
35,1
24,0
33,1
25,0
32,0
45,0
17,1
60,1
38,1
42,0
45,1
57,0
50,1
45,0
30,1
21,0
22,1
21,0
53,1
45,1
23,0
45,1
40.5,0
36,0
14,0
21,1
21,0
45,0
39,1
20,0
64,0
20,0
18,1
48,1
55,1
45,1
45,0
45,0
45,0
41,0
22,1
42,0
29,1
45,1
0.92,1
20,0
27,0
24,0
32.5,0
45,0
45,0
28,0
19,1
21,0
36.5,0
21,0
29,1
1,1
30,0
45,0
45,0
45,0
45,1
17,0
46,0
45,0
26,1
45,1
45,0
20,1
28,0
40,0
30,0
22,0
23,1
0.75,1
45,1
9,1
2,1
36,0
45,0
24,0
45,0
45,0
45,0
30,1
45,0
53,0
36,0
26,0
1,1
45,0
30,0
29,0
32,0
45,0
43,0
24,0
45,1
64,1
30,0
0.83,1
55,0
45,1
18,0
22,0
45,0
37,1
55,1
17,1
57,0
19,0
27,0
22,0
26,0
25,0
26,0
33,0
39,1
23,0
12,1
46,0
29,0
21,0
48,1
39,0
45,0
19,1
27,0
30,0
32,0
39,0
25,0
45,0
18,0
32,0
45,0
58,1
45,0
16,1
26,0
38,1
24,0
31,1
45,1
25,0
18,1
49,0
0.17,1
50,0
59,1
45,0
45,0
30,1
14.5,0
24,1
31,1
27,0
25,1
45,1
45,0
22,1
45,0
29,0
21,0
31,1
49,0
44,0
54,0
45,1
22,1
21,0
55,0
5,1
45,0
26,0
45,1
19,1
45,0
24,1
24,0
57,0
21,0
6,1
23,0
51,1
13,1
47,0
29,0
18,0
24,0
48,0
22,0
31,0
30,1
38,0
22,0
17,0
43,0
20,0
23,0
50,0
45,1
3,1
45,1
37,1
28,1
45,0
39,1
38.5,0
45,0
45,0
